Name,Cuisine,Ratings,Review,Map,Open Time,Close Time,Payment Methods,Best Dishes,Budget in USD,Phone Number
Trattoria al Tata,Italiana,4.9,315,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 4:00pm y 12:00pm a 4:00pm,mastercard & visa,"Ravioles de auyama, Gnocchi de ciruela , Marquesa de chocolate ",0.887556,0212-961.5964
La Tasca de Juancho,Peruana,4.9,282,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 12:00am,mastercard & visa,"Pulpo a la brasa, Ceviche limeño , Ceviche mixto",16.372500000000002,0212-267.5177
Fresh Fish & Meat (Altamira),Pescados y Mariscos,4.7,533,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:00am, 7:00pm,mastercard & amex,"Hamburguesa jim smith, Empanadas de langosta, Hamburguesa Baylisd",6.66,0212-265.7397
Artesanos Café,Internacional,4.7,228,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00am, 6:00pm,mastercard & visa,"Golfeados con queso, Ponque de chocolats, Café adriana",1.665,0212-5617092
Arrecife Fish & Sushi Bistró,Japonesa,4.7,151,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:00am, 11:00pm,mastercard & visa,"Alaska roll especial , Los Roques, Torta de chocolate",8.325000000000001,0212-9781364
Dena Ona,Española,4.7,92,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:00am, 11:00pm,mastercard & amex,None,3.0525,0212-953.2060
La Paletteria (Centro Lido),Internacional,4.7,25,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:00am, 7:00pm,mastercard & visa,"helado de vainilla relleno de leche condensada, Cheesecake de mora con leche condensada, Coco con leche condensada y toping de chocolate negro",0.8325,0412-642.6553
La Paletteria (Altamira),Internacional,4.7,23,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:00am, 8:00pm,mastercard & visa,"Parchita con leche condesada, Coco condensada, Pie de Limón",0.8602500000000001,
Tavola,Italiana,4.7,21,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 9:00pm,mastercard & visa,"Lomito de Res al vino tinto, Calzonne Nutella, Tocinillo de cielo",1.157582,0212-959.1558
Barako,Salir a comer,4.6,564,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:30am, 5:00pm,mastercard & visa,"Baby beef de punta americana, Volcan de chocolate, Bife de chorizo",10.2675,0212-264.0684
212,Salir a comer,4.6,504,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 9:00pm,mastercard & visa,"Papelón fashion, Old Fashion Burger, Papas con queso y tocineta",1.29315,0212-740.2147
Moreno,Venezolana,4.6,495,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 11:00pm,mastercard & visa,"Chocolate puyao, Vuelve a la vida, Pastel de chucho",14.29125,0212-261.5569
Brasero Steakhouse,Salir a comer,4.6,269,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:30am, 5:00pm,mastercard & amex,"Congrí, Brownie con helado, Tequeños de Yuca",6.66,0212-243.2246
Sotano Siete (El Hatillo),Pizzería,4.6,219,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 1:00pm, 10:00pm,mastercard & visa,"Pizza Serrano y Rugula, Calzone sotano 7, Pizza Capressa",10.2675,0414-2656397
Las Nieves,Internacional,4.6,218,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:30am, 5:30pm,mastercard & visa,"Cola de langosta, Milhoja, Pasticho de berenjena",4.44,0212-952.0328
