Name,Cuisine,Ratings,Review,Map,Open Time,Close Time,Payment Methods,Best Dishes,Budget in USD,Phone Number
Fatpanda (Los Palos Grandes),Japonesa,3.6,54,"https://www.google.com/maps/dir//10.342603340919,-67.039342671633/@10.342603340919,-67.039342671633,17z", 12:00pm, 9:00pm,mastercard & visa,"guao bao bun, Arroz cantones, Satay Malasya",4.625,0212-285.4228
St. Honoré,Francesa,4.5,363,"https://www.google.com/maps/dir//10.342603340919,-67.039342671633/@10.342603340919,-67.039342671633,17z", 8:00am, 9:00pm,mastercard & amex,"Croissant de almendras, Caracolas, Croissant simple",6.4750000000000005,02129764550
Trattoria al Tata,Italiana,4.9,315,"https://www.google.com/maps/dir//10.342603340919,-67.039342671633/@10.342603340919,-67.039342671633,17z", 12:00pm, 4:00pm,mastercard & visa,"Ravioles de auyama, Gnocchi de ciruela , Marquesa de chocolate ",0.887556,0212-961.5964
La Tasca de Juancho,Peruana,4.9,282,"https://www.google.com/maps/dir//10.342603340919,-67.039342671633/@10.342603340919,-67.039342671633,17z", 12:00pm, 12:00am,mastercard & visa,"Pulpo a la brasa, Ceviche limeño , Ceviche mixto",16.372500000000002,0212-267.5177
Gelato Mio,Italiana,4.9,265,"https://www.google.com/maps/dir//10.342603340919,-67.039342671633/@10.342603340919,-67.039342671633,17z", 11:30am, 7:30pm,mastercard & visa,"Helado de avellana, Helado de cheese cake, Helado de crema catalana",2.35875,0212-945.3674
Avila Tei,Japonesa,4.8,378,"https://www.google.com/maps/dir//10.342603340919,-67.039342671633/@10.342603340919,-67.039342671633,17z", 12:00pm, 9:00pm,mastercard & amex,"Spicy tuna roll, Ensalada Imperial, Helado Frito",8.325000000000001,0212-263.0806
La Posada de Cervantes,Mediterránea,4.8,25,"https://www.google.com/maps/dir//10.342603340919,-67.039342671633/@10.342603340919,-67.039342671633,17z", 12:00pm, 11:00pm,mastercard & visa,"Papas Bravas, Vieiras gratinadas, Pan tumaca",3.2375000000000003,0212-561.9095
Fresh Fish & Meat (Altamira),Pescados y Mariscos,4.7,533,"https://www.google.com/maps/dir//10.342603340919,-67.039342671633/@10.342603340919,-67.039342671633,17z", 8:00am, 7:00pm,mastercard & amex,"Hamburguesa jim smith, Empanadas de langosta, Hamburguesa Baylisd",6.66,0212-265.7397
La Cita,Española,4.7,337,"https://www.google.com/maps/dir//10.342603340919,-67.039342671633/@10.342603340919,-67.039342671633,17z", 12:00pm, 9:00pm,mastercard & visa,"Paella, Pargo a la sal, Caldeireta de mero",4.44,0212-572.8180
Pazzo,Italiana,4.7,244,"https://www.google.com/maps/dir//10.342603340919,-67.039342671633/@10.342603340919,-67.039342671633,17z", 12:00pm, 10:30pm,mastercard & amex,"Fetuccini alla routa, Ensalada tentación, Cartoccio de lomito con fetuccine alla ruota",10.2675,0212-264.3232
Artesanos Café,Internacional,4.7,228,"https://www.google.com/maps/dir//10.342603340919,-67.039342671633/@10.342603340919,-67.039342671633,17z", 7:00am, 6:00pm,mastercard & visa,"Golfeados con queso, Ponque de chocolats, Café adriana",1.665,0212-5617092
